ID,Title,Gender,Province,WorkType,SalaryShown,MinSalary,MaxSalary,MainCategory,Industry,ExperienceYears,RelatedExperience,IsRemote,IsInternship,DisabilitySupport,CompanyProvince,CompanyCity,OwnershipType,CompanySize,ActivityType,CompanyIndustry,AvgSalary
265,برنامه نویس Front-End (React) - آقا,فقط آقا,Tehran,Full Time Or Part Time,True,10.0,12.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,1,False,False,False,,Tehran,Tehran,Privately held,51 - 200 employees,Iranian company dealing only with Iranian entities,IT / Software / Hardware,11.0
271,(Back-End Developer(Java,تفاوتی ندارد,Tehran,Full Time,True,15.0,20.0,توسعه نرم افزار و برنامه نویسی,Finance / Investment,4,False,False,False,,Tehran,Tehran,Privately held,501 - 1000 employees,Iranian company dealing with Iranian and foreign customers,Finance / Investment,17.5
357,PHP (WordPress) Developer,تفاوتی ندارد,Tehran,Full Time,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,Finance / Investment,3,False,False,False,,Tehran,Tehran,Privately held,501 - 1000 employees,Iranian company dealing with Iranian and foreign customers,Finance / Investment,13.5
376,کارآموز برنامه نویسی نرم افزار,تفاوتی ندارد,Fars,Full Time,True,5.0,6.0,توسعه نرم افزار و برنامه نویسی,Manufacturing & Production,0,False,False,True,,Fars,Sepidan,Privately held,11 - 50 employees,Iranian company dealing only with Iranian entities,Manufacturing & Production,5.5
420,برنامه نویس Back-End - آقا,فقط آقا,Tehran,Full Time Or Part Time,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,1,False,False,False,,Tehran,Tehran,Privately held,51 - 200 employees,Iranian company dealing only with Iranian entities,IT / Software / Hardware,13.5
462,کارشناس تحلیل سیستم,تفاوتی ندارد,Tehran,Full Time,True,8.0,10.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,1,True,False,False,,Tehran,Tehran,Privately held,11 - 50 employees,Iranian company dealing only with Iranian entities,IT / Software / Hardware,9.0
575,برنامه نویس ASP .NET - اصفهان,تفاوتی ندارد,Isfahan,Full Time,True,6.0,8.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,1,False,False,False,,Isfahan,Isfahan,Privately held,51 - 200 employees,Iranian company dealing only with Iranian entities,IT / Software / Hardware,7.0
658,برنامه نویس Laravel - آقا,فقط آقا,Tehran,Full Time,True,10.0,12.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,2,False,False,False,,Tehran,Tehran,Privately held,51 - 200 employees,Iranian company dealing with Iranian and foreign customers,"IT / Software / Hardware,Internet Provider / E-commerce / Online Services,Trading / International Affairs",11.0
671,(Front-End Developer (React,تفاوتی ندارد,Tehran,Full Time,True,15.0,20.0,توسعه نرم افزار و برنامه نویسی,Finance / Investment,3,False,False,False,,Tehran,Tehran,Privately held,51 - 200 employees,Iranian company dealing only with Iranian entities,"Finance / Investment,IT / Software / Hardware",17.5
697,برنامه نویس++c لینوکس - کرج,تفاوتی ندارد,Alborz,Full Time,True,8.0,10.0,توسعه نرم افزار و برنامه نویسی,Telecom,2,False,False,False,,Tehran,Tehran,Privately held,201 - 500 employees,Iranian company dealing with Iranian and foreign customers,"IT / Software / Hardware,Telecom,Engineering Services / Technical Services & Solutions",9.0
701,برنامه نویس++c لینوکس,تفاوتی ندارد,Tehran,Full Time,True,8.0,10.0,توسعه نرم افزار و برنامه نویسی,Telecom,2,False,False,False,,Tehran,Tehran,Privately held,201 - 500 employees,Iranian company dealing with Iranian and foreign customers,"IT / Software / Hardware,Telecom,Engineering Services / Technical Services & Solutions",9.0
762,کارشناس پشتیبانی و  استقرار سیستم های نرم افزاری,تفاوتی ندارد,Tehran,Full Time,True,8.0,10.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,2,False,False,False,,Tehran,Tehran,Privately held,51 - 200 employees,Iranian company dealing with Iranian and foreign customers,IT / Software / Hardware,9.0
912,برنامه نویس سیستمی,تفاوتی ندارد,Tehran,Full Time Or Part Time,True,10.0,12.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,1,True,False,False,,Tehran,Tehran,Privately held,51 - 200 employees,Iranian company dealing only with Iranian entities,IT / Software / Hardware,11.0
918,کارشناس توسعه نرم افزار,تفاوتی ندارد,Tehran,Full Time,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,Manufacturing & Production,3,False,False,False,,Tehran,Kahrizak,Privately held,201 - 500 employees,Branch of non - Iranian company / Embassy,Manufacturing & Production,13.5
1063,برنامه نویس Front-End Angular,تفاوتی ندارد,Isfahan,Full Time,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,Trading / International Affairs,3,False,False,False,True,Isfahan,Isfahan,Privately held,11 - 50 employees,Iranian company dealing with Iranian and foreign customers,Trading / International Affairs,13.5
1181,برنامه نویس SQL,تفاوتی ندارد,Isfahan,Full Time,True,6.0,8.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,2,False,False,False,,Isfahan,Isfahan,Privately held,51 - 200 employees,Iranian company dealing with Iranian and foreign customers,IT / Software / Hardware,7.0
1228,کارشناس Front-End,تفاوتی ندارد,Tehran,Full Time,True,15.0,20.0,توسعه نرم افزار و برنامه نویسی,Internet Provider / E-commerce / Online Services,3,False,True,False,,Tehran,Tehran,Privately held,11 - 50 employees,Iranian company dealing with Iranian and foreign customers,Internet Provider / E-commerce / Online Services,17.5
1238,برنامه نویس Python,تفاوتی ندارد,Tehran,Full Time,True,8.0,10.0,توسعه نرم افزار و برنامه نویسی,Manufacturing & Production,1,True,False,False,,Tehran,Tehran,Privately held,51 - 200 employees,Iranian company dealing only with Iranian entities,"Manufacturing & Production,Oil & Gas / Petrochemical",9.0
1495,برنامه نویس فرانت Front-End,تفاوتی ندارد,Isfahan,Full Time Or Part Time,True,10.0,12.0,توسعه نرم افزار و برنامه نویسی,Education / Research,2,False,True,False,,Tehran,Tehran,Privately held,11 - 50 employees,Iranian company dealing with Iranian and foreign customers,"Education / Research,Business Services / Consulting",11.0
